Workshop Name,Workshop Rating,Professor Name,Student ID,Workshop Topic,Workshop Date,Duration,Location,Max Capacity,Registration Fee,Prerequisite,Feedback Comments,Technology Used,Workshop Type,Certificate,Student Major,Student Year,Attendance
Cloud Computing: Re-Contextualize E-Business E-Commerce,7.1,Emma Williams,S7662,Deep Learning,2023-02-09,1.7921998280424518,Room 101,89,59,Beginner,Owner spend another resource specific think.,Zoom,Discussion,No,Data Science,Senior,52
Data Visualization: Scale Wireless Architectures,6.5,Robert Johnson,S4996,Data Visualization,2023-03-28,2.1685930479646194,Room 104,10,85,Advanced,Catch hand star plan discussion.,Zoom,Hands-On,Yes,Data Science,Senior,7
Data Science: Architect Seamless E-Commerce,7.0,Emma Smith,S4368,Data Science,2023-08-23,2.957627458834507,Room 105,55,13,Intermediate,Trade deep daughter speech certainly least.,Teams,Hands-On,No,Mathematics,Freshman,44
Ai Ethics: Disintermediate Mission-Critical Architectures,9.1,Emily Miller,S6823,Statistical Analysis,2023-05-23,2.545424985823927,Room 105,20,74,Advanced,Student Congress fast not grow.,Google Colab,Discussion,No,Mathematics,Senior,10
Ai Ethics: Synthesize End-To-End Niches,9.9,John Smith,S4395,Machine Learning,2022-12-19,1.9956745728044434,Room 103,100,79,Intermediate,Most billion economic authority hold town.,Zoom,Lecture,No,Statistics,Senior,77
Deep Learning: Incentivize Extensible Methodologies,9.4,Michael Brown,S1023,Deep Learning,2023-03-02,1.16214751563704,Room 102,96,23,Intermediate,Possible firm serve summer.,Teams,Discussion,No,Mathematics,Freshman,78
Cloud Computing: Disintermediate Customized Methodologies,9.1,Olivia Miller,S6381,Deep Learning,2023-02-25,2.4865307548257443,Room 103,60,15,Beginner,Collection since shake serious nearly.,Jupyter,Discussion,No,Computer Science,Junior,33
Deep Learning: Morph Plug-And-Play Vortals,9.2,John Wilson,S3805,Deep Learning,2023-03-18,1.3539685322296011,Room 103,92,32,Beginner,Hour accept wind participant.,Google Colab,Discussion,No,Engineering,Senior,50
Machine Learning: Empower Global Networks,7.5,Michael Brown,S4240,AI Ethics,2022-12-22,2.464841962357516,Room 102,74,21,Beginner,Front decide where shake doctor why.,Jupyter,Lecture,Yes,Data Science,Junior,47
Data Visualization: Generate Cross-Platform Infrastructures,9.6,Emma Brown,S7392,Data Science,2023-05-24,1.8057859157925888,Room 103,85,82,Intermediate,Use conference chair base nothing.,Jupyter,Discussion,Yes,Mathematics,Sophomore,73
Ai Ethics: Empower B2C Markets,6.2,John Brown,S2675,Python Programming,2023-07-05,1.3724547263796092,Room 101,89,4,Intermediate,Might candidate support than term.,Jupyter,Discussion,No,Computer Science,Sophomore,61
Machine Learning: Empower Interactive E-Markets,6.7,Emily Jones,S5982,Statistical Analysis,2022-11-02,1.5472330591672632,Online-Zoom,96,29,Intermediate,Plant election color brother whose.,Jupyter,Discussion,Yes,Statistics,Junior,74
Cloud Computing: Envisioneer Plug-And-Play E-Commerce,9.6,John Smith,S2271,AI Ethics,2023-02-22,1.8819897049049417,Room 101,81,80,Intermediate,Daughter expert certain police.,Zoom,Hands-On,No,Statistics,Junior,71
Data Science: Synergize Impactful Deliverables,5.4,Lisa Wilson,S8070,Deep Learning,2023-01-22,2.4658727554685242,Online-Teams,54,44,Beginner,Author south similar explain sort.,Jupyter,Hands-On,No,Statistics,Senior,32
Machine Learning: Mesh Scalable Platforms,5.7,Michael Brown,S4410,Deep Learning,2023-05-04,2.4286893011226574,Online-Zoom,24,8,Advanced,Idea upon me expert choose play.,Jupyter,Discussion,No,Computer Science,Freshman,15
Python Programming: Mesh Transparent Methodologies,8.1,Michael Davis,S5914,Machine Learning,2023-07-01,1.9316831517121806,Online-Zoom,65,52,Beginner,Paper hold although Congress stay.,Jupyter,Hands-On,Yes,Mathematics,Sophomore,65
Deep Learning: Harness Distributed Methodologies,7.3,Robert Johnson,S8266,Cloud Computing,2022-12-04,1.3959425329264188,Online-Zoom,70,9,Intermediate,Again when item discuss.,Zoom,Lecture,Yes,Engineering,Junior,65
Statistical Analysis: Disintermediate End-To-End Convergence,8.8,Michael Davis,S3154,Cloud Computing,2023-06-20,2.1366551619704883,Online-Zoom,52,79,Beginner,Trip maintain pretty back unit appear.,Zoom,Discussion,No,Mathematics,Junior,29
Ai Ethics: Synthesize Wireless Architectures,5.9,Emily Miller,S9923,Deep Learning,2023-02-12,2.737142771616954,Room 103,78,14,Beginner,Free inside hard her.,Jupyter,Lecture,No,Engineering,Sophomore,57
Python Programming: Strategize Distributed Platforms,7.0,Olivia Smith,S4822,AI Ethics,2023-06-17,2.003830459389642,Room 104,36,35,Beginner,Stage federal actually son name company mother.,Jupyter,Discussion,Yes,Engineering,Senior,25
Machine Learning: Revolutionize Sticky Deliverables,5.3,Olivia Williams,S5974,Cloud Computing,2023-08-22,2.2042926393520466,Room 103,51,10,Advanced,Key democratic wide particular performance song.,Teams,Discussion,Yes,Data Science,Senior,41
Ai Ethics: Optimize Scalable Relationships,7.6,Emily Williams,S5280,Machine Learning,2023-01-08,2.8042405740090546,Room 103,95,34,Advanced,Political ability ready reveal.,Google Colab,Discussion,No,Engineering,Junior,77
Python Programming: Re-Contextualize Out-Of-The-Box Functionalities,6.2,Emily Jones,S8730,Python Programming,2023-10-03,2.4816754529724485,Online-Zoom,14,4,Beginner,Visit book fish boy adult it window.,Zoom,Hands-On,No,Mathematics,Senior,11
Machine Learning: Revolutionize B2B Markets,5.4,John Williams,S8199,Statistical Analysis,2023-10-03,1.4851470628408616,Online-Teams,13,15,Beginner,Base market size letter.,Google Colab,Discussion,Yes,Engineering,Senior,6
Deep Learning: Synthesize Rich Methodologies,5.4,Robert Brown,S4828,Deep Learning,2023-07-03,2.701208405367584,Room 104,17,74,Beginner,Voice five material pressure provide a.,Jupyter,Lecture,No,Mathematics,Sophomore,10
Data Visualization: Expedite Strategic Web-Readiness,9.4,Olivia Miller,S4375,Deep Learning,2023-02-03,2.01311748412905,Room 105,74,50,Advanced,Everything tree look become stay.,Teams,Discussion,No,Engineering,Sophomore,63
Statistical Analysis: Evolve World-Class Models,5.7,Robert Williams,S9117,Data Science,2023-01-24,2.389862910268093,Room 104,90,29,Advanced,Identify sound same.,Google Colab,Hands-On,Yes,Computer Science,Freshman,59
